,word,frequency
359,imaginer,241.15
360,autant,240.41
361,crier,239.73
363,général,236.89
364,feu,236.15
365,ordre,235.34
366,expliquer,233.92
367,plaisir,233.85
368,ombre,233.45
369,apercevoir,233.11
370,chemin,231.42
371,verre,230.07
372,glisser,229.32
373,reconnaître,229.19
374,bord,228.11
375,ajouter,224.66
376,recevoir,224.46
377,lèvre,222.03
378,jambe,220.95
379,cinq,220.61
380,vent,220.27
381,occuper,219.8
382,agir,219.73
383,tendre,218.38
384,état,218.18
385,sens,217.5
386,âge,217.43
387,cas,217.36
388,frère,216.35
389,esprit,216.28
390,salle,215.81
391,souvenir,215.41
392,décider,214.19
393,offrir,213.99
394,dos,213.99
395,fort,212.77
396,possible,211.96
397,partie,211.49
398,dix,209.86
400,arbre,208.58
401,compte,208.38
402,bleu,207.64
403,serrer,207.5
404,propre,207.5
405,sang,207.3
406,soudain,207.3
407,lorsque,207.09
408,chef,205.95
409,compter,203.72
410,plusieurs,203.58
412,papier,203.11
413,travailler,202.7
414,remettre,202.5
415,lui-même,202.3
416,rappeler,202.23
417,minute,201.42
418,traverser,200.81
419,mauvais,200.61
420,répéter,200.14
421,coin,199.26
422,couleur,198.72
423,découvrir,198.18
424,journal,197.7
425,manquer,197.64
426,semaine,197.5
427,cause,197.3
428,fermer,197.16
429,oh,197.09
430,haut,196.76
431,coucher,196.22
432,approcher,196.15
433,odeur,195.68
434,avancer,195.0
435,argent,194.39
437,oreille,194.12
438,effet,192.36
439,malgré,191.55
440,toucher,190.27
441,heureux,190.0
442,aussitôt,189.93
443,pierre,189.86
444,image,188.92
445,rencontrer,188.51
446,chacun,187.84
447,peau,187.77
448,pauvre,187.77
449,bas,187.09
450,jardin,185.81
452,chien,184.59
453,permettre,184.19
454,type,184.19
455,disparaître,183.31
456,mouvement,182.97
457,certain,182.64
458,battre,182.36
459,cacher,181.89
460,aucun,180.95
461,gagner,180.88
463,partout,179.39
464,journée,179.39
465,cheval,179.26
466,parole,178.31
467,cesser,177.77
468,envoyer,177.64
469,nez,177.64
470,café,177.3
471,cours,176.76
472,forme,176.69
473,eh,176.62
474,au-dessus,176.35
475,valoir,175.74
477,sac,174.26
478,jeu,173.31
479,importer,173.11
480,nouvelle,172.5
481,foutre,172.3
482,parmi,171.96
483,empêcher,171.28
484,tuer,171.15
485,bientôt,169.59
487,ensuite,169.19
488,reste,168.58
489,tellement,168.51
490,frapper,168.31
491,nu,168.04
492,libre,167.91
493,lancer,165.07
494,fleur,164.39
495,fou,164.32
496,droit,163.72
497,rouler,163.45
498,pleurer,163.31
499,bonheur,162.36
500,ligne,162.3
501,installer,162.23
502,froid,161.69
503,signe,161.28
505,remonter,160.14
506,suffire,159.39
507,apporter,159.32
508,apparaître,159.26
509,front,159.12
511,debout,158.85
512,aider,158.65
513,retour,158.65
515,genre,157.91
516,manière,157.77
517,ressembler,157.5
518,sentiment,157.3
519,bouger,156.76
520,clair,156.69
521,lentement,156.55
522,parvenir,156.42
523,six,156.22
524,pencher,155.88
525,oser,155.54
526,cri,155.41
527,impression,155.27
528,ancien,154.86
529,gris,154.86
530,vingt,154.59
531,habitude,154.46
532,passage,154.39
533,préparer,154.12
534,juste,153.45
535,marche,152.97
536,refuser,152.77
537,âme,151.62
538,pensée,151.55
539,maître,151.49
540,dame,151.35
541,léger,151.01
542,sol,150.34
543,payer,150.2
544,joie,150.2
545,cour,150.14
546,bureau,150.07
547,pareil,149.66
548,lendemain,149.26
549,escalier,148.85
550,simple,148.58
551,acheter,148.38
552,exister,148.18
553,robe,148.18
554,entier,147.91
555,vide,147.5
556,dur,146.69
557,armée,146.55
558,parent,146.35
559,poche,146.28
560,lourd,145.88
561,vert,145.14
563,église,145.07
564,ensemble,145.07
565,tes,145.0
566,accepter,144.66
567,conduire,144.66
568,maman,144.39
569,vue,144.39
570,village,143.99
571,école,143.99
572,retenir,143.92
573,sec,142.84
574,service,142.77
575,remarquer,142.16
576,mille,142.09
577,ventre,141.96
578,goût,141.82
579,espèce,141.69
580,début,141.49
581,présent,141.01
582,fixer,140.95
583,couper,140.88
584,vérité,140.88
585,phrase,140.47
586,voyage,140.07
587,plaire,139.8
588,taire,139.8
589,cependant,139.73
590,revoir,139.46
591,époque,138.51
592,feuille,138.04
593,mener,137.7
594,endroit,137.57
595,embrasser,137.5
596,lequel,137.09
597,effort,136.62
598,chance,136.35
600,accord,136.15
601,intérieur,135.88
602,saisir,135.74
603,présence,135.54
604,cuisine,135.41
605,cent,135.41
606,présenter,135.14
607,espérer,134.93
608,rejoindre,134.8
609,sauter,134.59
610,gauche,134.59
611,simplement,134.32
612,demain,134.12
613,boîte,134.05
614,choisir,133.92
615,annoncer,133.92
616,cher,133.65
617,couvrir,133.51
618,larme,133.51
619,préférer,133.38
620,éloigner,133.11
621,siècle,132.91
622,mesure,132.84
623,échapper,132.64
624,patron,132.43
625,ouvert,132.36
626,gouvernement,132.03
627,puisque,131.82
628,rapport,130.95
629,chat,130.74
630,moindre,130.27
631,mètre,130.07
632,or,130.0
635,demeurer,128.85
636,rêve,128.58
637,abandonner,128.45
638,doucement,128.38
639,rêver,128.18
640,genou,127.91
641,oncle,127.7
642,éprouver,127.09
643,tenter,126.96
644,atteindre,126.76
645,tôt,126.76
646,exemple,126.62
647,assurer,126.55
648,langue,126.28
649,appuyer,126.01
650,contraire,126.01
651,chanter,125.81
652,sombre,125.74
653,dent,125.68
654,été,125.47
655,réveiller,125.41
656,relever,124.93
657,attention,124.53
658,accompagner,124.46
659,objet,124.32
660,mari,124.26
661,hasard,124.19
662,murmurer,123.58
663,départ,123.04
664,traîner,122.77
665,pluie,122.57
666,groupe,122.5
667,hésiter,122.43
668,charger,122.16
669,réussir,122.16
670,joue,121.76
671,seconde,121.49
672,emporter,121.28
673,prêt,121.28
674,couler,121.15
675,amuser,120.95
676,énorme,120.0
677,joli,120.0
679,proposer,119.66
680,naître,119.32
681,souffrir,119.26
682,entrée,118.78
684,herbe,118.51
685,tante,118.38
686,chaise,118.31
687,difficile,118.11
688,droite,117.97
690,intéresser,117.36
691,bête,117.36
692,désir,117.09
693,surprendre,116.62
694,étonner,116.55
695,immobile,116.42
696,secouer,116.35
697,allumer,116.28
698,chaleur,116.22
699,observer,116.01
700,tel,115.74
701,page,115.54
702,cou,115.34
703,conversation,115.34
704,baisser,115.27
706,scène,114.93
707,sommeil,114.8
708,musique,114.32
709,fer,114.19
710,avenir,113.72
711,passé,113.51
712,elle-même,113.51
713,soulever,113.38
714,arracher,113.38
715,forêt,113.31
716,chaud,113.31
717,neuf,113.18
718,oiseau,113.04
719,mêler,112.64
720,habiter,112.5
721,côte,112.5
722,deviner,112.3
723,foule,112.3
724,quartier,112.16
725,entourer,112.09
726,garde,112.09
727,ennemi,111.96
728,étendre,111.89
729,frais,111.69
730,humain,111.55
731,arme,111.49
732,brusquement,111.42
733,carte,111.42
734,selon,110.88
735,mémoire,110.88
736,guère,110.68
737,éviter,110.47
738,vin,110.47
739,former,110.27
741,jaune,109.86
742,séparer,109.8
743,faux,109.59
744,ramener,109.26
745,dehors,109.05
746,court,108.99
747,classe,108.92
748,ignorer,108.45
749,trou,108.38
750,craindre,108.31
751,île,108.24
752,direction,108.04
753,combien,108.04
755,obliger,107.57
756,large,107.5
757,prix,107.5
758,peuple,107.3
760,campagne,107.23
761,coller,107.16
762,moyen,107.03
763,immense,106.89
764,toile,106.62
765,champ,106.49
766,poursuivre,106.42
767,propos,106.28
768,prier,105.74
769,occasion,105.74
770,profond,105.74
771,sujet,105.74
772,triste,105.61
773,emmener,105.47
774,pain,105.41
776,songer,104.86
777,situation,104.86
778,enfoncer,104.8
779,brûler,104.73
780,couloir,104.53
781,poitrine,104.46
782,bouteille,104.05
783,enfance,103.99
784,élever,103.85
785,paix,103.72
786,étrange,103.58
787,copain,103.38
788,huit,102.5
789,respirer,102.43
790,sale,102.03
791,fauteuil,102.03
792,espoir,101.89
793,placer,101.76
794,chair,101.69
795,durer,101.62
796,promettre,101.42
797,certains,101.28
798,prince,101.22
799,salon,101.22
800,dimanche,101.15
801,entraîner,101.08
802,marquer,101.08
803,éclater,100.47
804,souffle,100.2
805,colère,100.07
806,terminer,100.0
807,accrocher,99.93
808,réponse,99.93
809,dresser,99.86
810,fil,99.73
812,risquer,99.32
813,morceau,99.32
814,visite,99.32
815,appartement,99.26
816,sauver,99.05
817,camarade,98.99
818,roi,98.92
819,facile,98.65
820,maintenir,98.51
821,retirer,98.31
822,adresser,98.04
824,liberté,97.97
825,davantage,97.84
826,promener,97.77
827,honneur,97.36
828,intérêt,97.36
829,existence,97.36
830,voici,97.3
831,tromper,97.3
832,trait,97.3
833,camp,97.23
834,compagnie,97.16
835,juger,96.96
836,rôle,96.96
838,téléphone,96.82
839,étage,96.55
840,sable,96.55
841,grand-père,96.49
842,avouer,96.22
844,rose,96.08
845,secret,96.01
846,impossible,96.01
847,nature,95.88
848,diriger,95.68
849,figure,95.34
850,faute,95.2
851,vif,95.07
852,drôle,95.07
853,arrière,95.0
854,problème,95.0
855,quinze,94.8
856,photo,94.59
857,balle,94.59
858,engager,94.59
859,grand-mère,94.59
860,trembler,94.05
861,fête,94.05
862,amener,93.92
863,grave,93.78
865,auprès,93.45
866,lampe,93.11
867,casser,92.7
868,vendre,92.64
869,hier,92.64
870,beauté,92.64
871,malheur,92.64
872,sonner,92.57
873,danser,92.57
874,capitaine,92.57
875,hors,92.43
876,écarter,92.36
877,appartenir,92.36
878,exactement,92.36
880,vivant,92.23
881,différent,92.03
882,lointain,91.96
883,confiance,91.96
884,tranquille,91.96
885,douleur,91.89
886,refermer,91.76
