,word,frequency,known
2273,phare,31.49,1
2274,grogner,31.42,1
2275,recueillir,31.42,1
2276,seize,31.42,1
2277,individu,31.42,1
2278,pressé,31.42,1
2279,mars,31.42,1
2280,basculer,31.35,1
2281,consister,31.35,1
2282,emprunter,31.28,1
2283,clore,31.28,1
2284,populaire,31.28,1
2285,tempête,31.28,1
2286,piano,31.28,1
2288,affection,31.22,1
2289,spécial,31.22,1
2290,poème,31.22,1
2291,décembre,31.22,1
2292,délivrer,31.15,1
2293,plancher,31.15,1
2294,repérer,31.15,1
2295,orner,31.15,1
2296,enfantin,31.15,1
2297,motif,31.15,1
2298,sage,31.15,1
2299,i,31.15,1
2300,allusion,31.15,1
2302,mélange,31.01,1
2303,mèche,31.01,1
2304,nourriture,31.01,1
2305,estomac,30.95,1
2306,cérémonie,30.95,1
2307,absurde,30.95,1
2308,ralentir,30.95,1
2309,outil,30.88,1
2310,foyer,30.88,1
2311,banque,30.88,1
2312,banquette,30.88,1
2313,cerveau,30.88,1
2314,fréquenter,30.81,1
2315,décidément,30.81,1
2316,bombe,30.81,1
2317,appui,30.81,1
2318,transparent,30.81,1
2319,âgé,30.74,1
2320,agacer,30.68,1
2321,élevé,30.68,1
2322,imbécile,30.68,1
2323,reproche,30.68,1
2324,clarté,30.68,1
2325,réaction,30.68,1
2327,ricaner,30.61,1
2328,visible,30.61,1
2329,coincer,30.61,1
2332,janvier,30.61,1
2333,introduire,30.54,1
2334,comporter,30.54,1
2335,possibilité,30.54,1
2337,crayon,30.47,1
2338,nerf,30.47,1
2339,prénom,30.47,1
2340,ruelle,30.47,1
2341,mouton,30.47,1
2342,décrocher,30.41,1
2343,crisper,30.41,1
2344,encombrer,30.41,1
2345,étudier,30.41,1
2346,pêche,30.41,1
2347,blessé,30.34,1
2348,journaliste,30.34,1
2349,tablier,30.34,1
2350,ambition,30.34,1
2351,déployer,30.27,1
2353,immobiliser,30.27,1
2354,guérir,30.27,1
2355,assis,30.27,1
2356,poudre,30.27,1
2357,instruction,30.27,1
2358,bâton,30.27,1
2359,émerger,30.2,1
2360,piège,30.2,1
2361,duquel,30.2,1
2362,concert,30.14,1
2363,dégoût,30.14,1
2364,indifférent,30.14,1
2366,catastrophe,30.14,1
2367,union,30.07,1
2368,amer,30.07,1
2369,étonnant,30.0,1
2370,paroi,30.0,1
2371,hé,30.0,1
2372,commerce,29.93,1
2373,oubli,29.93,1
2374,fierté,29.93,1
2375,incident,29.93,1
2376,envoler,29.86,1
2377,effrayer,29.86,1
2378,minuit,29.86,1
2379,bougie,29.86,1
2380,champagne,29.86,1
2381,extérieur,29.86,1
2382,adopter,29.86,1
2383,boucle,29.86,1
2384,vivement,29.86,1
2385,chauffer,29.8,1
2386,palier,29.8,1
2387,bonhomme,29.8,1
2388,rude,29.8,1
2389,absent,29.8,1
2392,progrès,29.73,1
2393,sévère,29.73,1
2394,comédie,29.73,1
2395,énergie,29.66,1
2396,acquérir,29.66,1
2397,bataillon,29.53,1
2398,encre,29.53,1
2399,découverte,29.53,1
2400,jusque-là,29.53,1
2401,entrevoir,29.53,1
2402,innombrable,29.53,1
2403,apparemment,29.53,1
2405,louer,29.46,1
2406,apprêter,29.46,1
2407,habitant,29.46,1
2408,cabane,29.46,1
2409,tempe,29.46,1
2410,canard,29.46,1
2411,dessous,29.46,1
2412,essence,29.46,1
2413,attarder,29.39,1
